Staff_ID,Name,Email,Phone,Position,Department,Hire_Date,Salary
S001,Sarah Mitchell,sarah.mitchell@library.org,555-1001,Head Librarian,Administration,2018-03-15,65000
S002,Michael Chen,michael.chen@library.org,555-1002,Reference Librarian,Reference,2019-06-20,48000
S003,Jessica Rodriguez,jessica.rodriguez@library.org,555-1003,Children's Librarian,Youth Services,2020-09-12,45000
S004,Ryan Thompson,ryan.thompson@library.org,555-1004,Technical Services,Cataloging,2021-01-08,42000
S005,Amanda Foster,amanda.foster@library.org,555-1005,Circulation Supervisor,Circulation,2019-11-25,50000
S006,Kevin Park,kevin.park@library.org,555-1006,IT Specialist,Technology,2022-04-18,55000
S007,Lisa Wang,lisa.wang@library.org,555-1007,Adult Services Librarian,Adult Services,2020-02-14,46000
S008,Brian Kelly,brian.kelly@library.org,555-1008,Part-time Assistant,Circulation,2023-08-01,25000
S009,Diana Lopez,diana.lopez@library.org,555-1009,Archivist,Special Collections,2017-12-03,52000
S010,Eric Johnson,eric.johnson@library.org,555-1010,Branch Manager,Branch Operations,2016-05-22,58000
